Major_Id,Major
1,Cybersecurity
2,Embedded Systems
3,Ethical Hacking
4,Artificial Intelligence
5,Backend Development
6,Big Data
7,BI Analysis
8,Cloud Computing
9,Computer Engineering
10,Computer Science
11,Data Analysis
12,Data Engineering
13,Data Science
14,Deep Learning
15,DevOps
16,Frontend Development
17,Full Stack Development
18,Game Development
19,Information System
20,Internet of Things (IoT)
21,IT Support
22,Machine Learning
23,Mobile App Development
24,Networking
25,QA
26,Software Engineering
27,UI/UX Design
28,Web Development
