Skill_Id,Skill,Skill_type,Gap_Indicator
1,Algorithms,Technical,0
2,Data Structures,Technical,0
3,SQL,Technical,0
4,Python,Technical,0
5,Machine Learning,Technical,0
6,Deep Learning,Technical,0
7,Statistics,Technical,0
8,Data Visualization,Technical,0
9,Power BI,Technical,0
10,Tableau,Technical,0
11,Excel,Technical,0
12,R,Technical,0
13,Spark,Technical,0
14,Hadoop,Technical,0
15,Java,Technical,0
16,JavaScript,Technical,0
17,HTML/CSS,Technical,0
18,React,Technical,1
19,Node.js,Technical,0
20,Django,Technical,0
21,Docker,Technical,1
22,Kubernetes,Technical,1
23,AWS,Technical,1
24,Azure,Technical,1
25,Cloud,Technical,1
26,Linux,Technical,0
27,Networking,Technical,0
28,SIEM,Technical,1
29,Penetration Testing,Technical,1
30,Cryptography,Technical,0
31,IoT,Technical,1
32,Embedded C,Technical,0
33,Flutter,Technical,1
34,Kotlin,Technical,1
35,Unity,Technical,1
36,Figma,Technical,0
37,Git,Technical,0
38,Agile,Business,0
39,Communication,Soft,0
40,Problem Solving,Soft,0
41,Teamwork,Soft,0
42,C++,Technical,0
